Database data_candlestick.sqlite3 created and successfully connected to SQLite
SQLite version is:  [('3.22.0',)]
2020-05-18 14:08:00,8.09,6.86
2020-05-18 14:09:00,7.91,6.86
2020-05-18 14:10:00,7.92,6.76
2020-05-18 14:11:00,7.92,6.76
2020-05-18 14:12:00,7.92,6.76
2020-05-18 14:13:00,7.92,6.77
2020-05-18 14:14:00,7.92,6.76
2020-05-18 14:15:00,7.92,6.76
2020-05-18 14:16:00,7.91,6.76
2020-05-18 14:17:00,7.92,6.76
2020-05-18 14:18:00,7.92,6.76
2020-05-18 14:20:00,7.91,6.76
2020-05-18 14:21:00,7.92,6.76
2020-05-18 14:22:00,7.91,6.76
2020-05-18 14:23:00,7.92,6.76
2020-05-18 14:24:00,7.92,6.77
2020-05-18 14:25:00,7.92,6.77
2020-05-18 14:27:00,7.92,6.76
2020-05-18 14:28:00,7.92,6.76
2020-05-18 14:29:00,7.92,6.76
2020-05-18 14:30:00,7.92,6.76
2020-05-18 14:31:00,7.92,6.76
2020-05-18 14:33:00,7.92,6.76
2020-05-18 14:35:00,7.92,6.76
2020-05-18 14:36:00,7.92,6.76
2020-05-18 14:54:00,7.69,6.54
2020-05-18 14:56:00,7.70,6.55
2020-05-18 15:02:00,7.69,6.44
2020-05-18 15:13:00,7.70,6.44
2020-05-18 15:31:00,7.70,6.44
2020-05-18 15:39:00,7.69,6.44
2020-05-18 15:48:00,7.70,6.44
2020-05-18 16:03:00,7.37,6.44
2020-05-18 16:04:00,7.37,6.44
2020-05-18 16:05:00,7.37,6.44
2020-05-18 16:22:00,7.37,6.44
2020-05-18 16:40:00,7.37,6.44
2020-05-18 16:42:00,7.37,6.44
2020-05-18 16:57:00,7.37,6.44
2020-05-18 16:58:00,7.15,6.44
2020-05-18 16:59:00,7.15,6.44
2020-05-18 17:01:00,7.15,6.44
2020-05-18 17:03:00,7.15,6.44
2020-05-18 17:04:00,7.15,6.44
2020-05-18 17:05:00,7.15,6.44
2020-05-18 17:06:00,7.14,6.44
2020-05-18 17:07:00,7.14,6.44
2020-05-18 17:09:00,7.14,6.44
2020-05-18 17:11:00,7.14,6.44
2020-05-18 17:12:00,7.25,6.44
2020-05-18 17:14:00,7.15,6.44
2020-05-18 17:15:00,7.15,6.44
2020-05-18 17:16:00,7.14,6.44
2020-05-18 17:18:00,7.14,6.44
2020-05-18 17:19:00,7.15,6.44
2020-05-18 17:20:00,7.15,6.44
2020-05-18 17:21:00,7.14,6.44
2020-05-18 17:23:00,7.15,6.44
2020-05-18 17:25:00,7.14,6.44
2020-05-18 17:26:00,7.14,6.44
2020-05-18 17:27:00,7.15,6.44
2020-05-18 17:28:00,7.15,6.44
2020-05-18 17:29:00,7.14,6.44
2020-05-18 17:31:00,7.14,6.44
2020-05-18 17:32:00,7.15,6.44
2020-05-18 17:33:00,7.15,6.44
2020-05-18 17:34:00,7.14,6.44
2020-05-18 17:36:00,7.14,6.44
2020-05-18 17:38:00,7.15,6.44
2020-05-18 17:39:00,7.15,6.44
2020-05-18 17:40:00,7.15,6.44
2020-05-18 17:41:00,7.15,6.44
2020-05-18 17:42:00,7.15,6.44
2020-05-18 17:44:00,7.15,6.44
2020-05-18 17:45:00,7.15,6.44
2020-05-18 17:46:00,7.15,6.44
2020-05-18 17:47:00,7.15,6.44
2020-05-18 17:49:00,7.14,6.44
2020-05-18 17:50:00,7.26,6.44
2020-05-18 17:51:00,7.25,6.33
2020-05-18 17:53:00,7.25,6.33
2020-05-18 17:55:00,7.26,6.34
2020-05-18 17:56:00,7.26,6.34
2020-05-18 17:58:00,7.26,6.34
2020-05-18 17:59:00,7.25,6.33
2020-05-18 18:00:00,7.25,6.33
2020-05-18 18:01:00,7.26,6.34
2020-05-18 18:02:00,7.26,6.34
2020-05-18 18:03:00,7.25,6.33
2020-05-18 18:04:00,7.25,6.33
2020-05-18 18:05:00,7.25,6.33
2020-05-18 18:06:00,7.25,6.33
2020-05-18 18:07:00,7.26,6.34
2020-05-18 18:08:00,7.26,6.34
2020-05-18 18:09:00,7.59,6.67
2020-05-18 18:10:00,7.26,6.34
2020-05-18 18:12:00,7.26,6.34
2020-05-18 18:14:00,7.26,6.34
2020-05-18 18:15:00,7.26,6.34
2020-05-18 18:17:00,7.26,6.34
2020-05-18 18:18:00,7.26,6.34
2020-05-18 18:20:00,7.25,6.33
2020-05-18 18:21:00,7.26,6.34
2020-05-18 18:23:00,7.25,6.33
2020-05-18 18:25:00,7.25,6.33
2020-05-18 18:26:00,7.25,6.33
2020-05-18 18:27:00,7.25,6.33
2020-05-18 18:28:00,7.26,6.34
2020-05-18 18:29:00,7.26,6.34
2020-05-18 18:30:00,7.26,6.34
2020-05-18 18:31:00,7.25,6.33
2020-05-18 18:32:00,7.25,6.33
2020-05-18 18:33:00,7.25,6.33
2020-05-18 18:34:00,7.25,6.33
2020-05-18 18:36:00,7.26,6.34
2020-05-18 18:37:00,7.25,6.33
2020-05-18 18:39:00,7.26,6.34
2020-05-18 18:40:00,7.25,6.33
2020-05-18 18:41:00,7.26,6.34
2020-05-18 18:43:00,7.25,6.33
2020-05-18 18:44:00,7.25,6.33
2020-05-18 18:45:00,7.26,6.34
2020-05-18 18:46:00,7.25,6.33
2020-05-18 18:47:00,7.25,6.33
2020-05-18 18:48:00,7.25,6.33
2020-05-18 18:50:00,7.25,6.33
2020-05-18 18:51:00,7.25,6.33
2020-05-18 18:52:00,7.38,6.46
2020-05-18 18:54:00,7.27,6.35
2020-05-18 18:55:00,7.26,6.34
2020-05-18 18:56:00,7.26,6.34
2020-05-18 18:58:00,7.26,6.34
2020-05-18 19:00:00,7.26,6.34
2020-05-18 19:01:00,7.38,6.46
2020-05-18 19:03:00,7.37,6.45
2020-05-18 19:04:00,7.37,6.45
2020-05-18 19:06:00,7.37,6.45
2020-05-18 19:07:00,7.37,6.45
2020-05-18 19:09:00,7.37,6.45
2020-05-18 19:10:00,7.59,6.67
2020-05-18 19:11:00,7.70,6.78
2020-05-18 19:15:00,8.26,7.33
2020-05-18 19:16:00,8.26,7.33
2020-05-18 19:17:00,8.26,7.33
2020-05-18 19:22:00,8.33,7.40
2020-05-18 19:23:00,8.33,7.40
2020-05-18 19:24:00,8.82,7.88
